source_track_id,source_Track Name,source_Artist Name(s),source_Danceability,source_Energy,source_Key,source_Loudness,source_Mode,source_Speechiness,source_Acousticness,source_Instrumentalness,source_Liveness,source_Valence,source_Tempo,source_pid,source_region_genre_id,source_position,source_pid_position,target_track_id,target_Track Name,target_Artist Name(s),target_Danceability,target_Energy,target_Key,target_Loudness,target_Mode,target_Speechiness,target_Acousticness,target_Instrumentalness,target_Liveness,target_Valence,target_Tempo,target_pid,target_region_genre_id,target_position,target_pid_position,label
5bEpBzA1YtKMi6d3AUwAMc,Etude in D minor,Barry O'sullivan,0.37,0.192,2.0,-17.172,0.0,0.0441,0.991,0.904,0.109,0.38,126.986,22,western_focus,254,22_254,78J70fi5DbFAGN8F5zerTY,Journey,Soothing Oasis,0.0741,0.067,11.0,-31.047,0.0,0.0585,0.957,0.663,0.11,0.0814,77.532,,,,,0
3jtKSUiVDowKNBqVQbWaig,Iktara,Amit Trivedi;Kavita Seth;Amitabh Bhattacharya,0.616,0.525,7.0,-7.065,1.0,0.0258,0.401,0.000484,0.309,0.427,79.976,9,hindi_study,102,9_102,5rF4khMrrwHgEjCLC6sB1f,Hearts On Fire - Acoustic,Jessie Reid,0.371,0.35,5.0,-10.279,1.0,0.0315,0.852,9.64e-06,0.101,0.358,170.712,,,,,0
7yn5DOQnBNkTSFS11Gs6B3,Can't let go,Vozol,0.668,0.577,7.0,-7.186,0.0,0.0748,0.198,0.139,0.136,0.319,127.269,21,western_dj,11,21_11,14mT8BCOXiUUcGlb7KujkT,I Think They Call This Love - Cover,Matthew Ifield,0.39,0.556,0.0,-7.497,0.0,0.0312,0.68,0.00735,0.0982,0.566,104.457,,,,,0
7zkXBmkaHsRzzSAc60bKNH,Day by Day - Acoustic,Old Sea Brigade,0.599,0.322,6.0,-14.017,0.0,0.04,0.917,0.884,0.117,0.364,138.066,4,hindi_sleep,51,4_51,4Pf3mmQerhVI3mxmUkUKmf,Where Time Thins,Katsiaryna Labanava,0.706,0.729,7.0,-9.638,1.0,0.0398,0.0228,0.89,0.127,0.319,113.989,,,,,0
4Tcs7t7ffUifz73kEOsnQZ,Kadanna Preme ( Ver-1),S.P. Charan,0.656,0.575,5.0,-7.131,0.0,0.0474,0.282,8.24e-05,0.109,0.313,122.949,12,telugu_chill_lyrics,76,12_76,3fu89sPz9Ueztam8X5LCix,Nova Trace,Emberwaves,0.442,0.0239,9.0,-31.283,1.0,0.0308,0.992,0.866,0.0857,0.163,75.962,,,,,0
0Pe6XBhleBHeyuE23ZHETQ,Pal - Lofi Flip,Kritiman Mishra;Arijit Singh;Shreya Ghoshal;Javed-Mohsin,0.616,0.6,7.0,-7.662,0.0,0.0417,0.192,0.046,0.176,0.23,119.944,27,western_sleep,62,27_62,1Vb4HQnN2kZ5Y2KgYF5TDV,No Lie,Sean Paul;Dua Lipa,0.742,0.882,7.0,-2.862,1.0,0.117,0.0466,0.0,0.206,0.463,102.04,,,,,0
6XjJXPP3UiGtAQpYkD01c0,Chittiyaan Kalaiyaan,Meet Bros Anjjan;Kanika Kapoor;Kumaar,0.793,0.887,7.0,-5.285,1.0,0.0954,0.0962,6.39e-05,0.623,0.602,100.007,20,western_dj,59,20_59,5pKh7avN31GpBe4JKhXKmF,"Pee Loon (From ""Once Upon A Time In Mumbaai"")",Pritam;Mohit Chauhan,0.656,0.721,8.0,-5.064,1.0,0.0364,0.277,0.000139,0.188,0.883,83.95,,,,,0
1HK9bUeaIXx3lZv1nWayyR,Absentia,Andrew Mays,0.389,0.0436,10.0,-28.11,0.0,0.038,0.982,0.918,0.108,0.106,78.159,26,western_focus,70,26_70,7Ey06jUeAOE6BiJysv5LFF,Growing Free,Noah Foem,0.334,0.0408,0.0,-32.507,0.0,0.0316,0.995,0.91,0.11,0.396,74.848,26.0,western_focus,71.0,26_71,1
76UVi3tz2rpTOPtvstIoK2,Get Busy - Odd Mob Club Mix,Sean Paul;Odd Mob,0.77,0.942,11.0,-5.548,0.0,0.192,0.00472,0.0,0.101,0.615,132.08,19,western_dj,95,19_95,03bA59As8j2ODRyZRE3X7X,"Never Leave You (Uh Oooh, Uh Oooh)",Ian Asher;Joe Stone,0.797,0.956,11.0,-2.282,0.0,0.263,0.152,0.0128,0.0357,0.574,126.992,19.0,western_dj,96.0,19_96,1
7JOFplrLQfYkuEcWCASZDo,Iktara - Lofi Flip,VIBIE;Amit Trivedi;Kavita Seth;Amitabh Bhattacharya;Bollywood Lofi,0.382,0.52,7.0,-12.319,1.0,0.0366,0.225,0.0506,0.427,0.179,159.894,8,hindi_study,49,8_49,0KuOz1FUgzRD3MpDQtVAkX,Inthajare Inthajare,Karthik;Suchitra,0.606,0.606,8.0,-8.105,1.0,0.0333,0.686,0.00666,0.184,0.686,87.225,,,,,0
