pid,region_genre_id,input_Danceability,input_Energy,input_Key,input_Loudness,input_Mode,input_Speechiness,input_Acousticness,input_Instrumentalness,input_Liveness,input_Valence,input_Tempo,input_track_id,input_Track Name,input_Artist Name(s),input_pid_position,target_Danceability,target_Energy,target_Key,target_Loudness,target_Mode,target_Speechiness,target_Acousticness,target_Instrumentalness,target_Liveness,target_Valence,target_Tempo,target_track_id,target_Track Name,target_Artist Name(s),target_pid_position
1,hindi_chill_lyrics,0.726,0.818,6.0,-6.522,0.0,0.176,0.538,1.01e-06,0.111,0.812,92.033,0RGp4KA9wvndxqPIWoKwnD,Yalgaar,Ajey Nagar (CarryMinati);Wily Frenzy,1_43,0.422,0.768,6.0,-9.817,1.0,0.105,0.139,0.0201,0.103,0.334,80.01,16yY0djpco2At5uOLGm5FS,Rudra Shiva Stotram Mantra,Aniruddha Sastry,1_44
1,hindi_chill_lyrics,0.422,0.768,6.0,-9.817,1.0,0.105,0.139,0.0201,0.103,0.334,80.01,16yY0djpco2At5uOLGm5FS,Rudra Shiva Stotram Mantra,Aniruddha Sastry,1_44,0.535,0.704,5.0,-9.605,0.0,0.219,0.496,3.62e-06,0.201,0.292,109.984,0sFvwGg4GuXSOMBKksGXWS,"Jai Hanuman - From ""Dieyana House""",Raghu Dixit,1_45
1,hindi_chill_lyrics,0.535,0.704,5.0,-9.605,0.0,0.219,0.496,3.62e-06,0.201,0.292,109.984,0sFvwGg4GuXSOMBKksGXWS,"Jai Hanuman - From ""Dieyana House""",Raghu Dixit,1_45,0.645,0.704,5.0,-4.61,0.0,0.267,0.148,0.0,0.223,0.796,169.93,7M5rtXfBW7FZ9gEWkw2uDR,Yaar Haryane Te,Khasa Aala Chahar;KD DESIROCK,1_46
1,hindi_chill_lyrics,0.645,0.704,5.0,-4.61,0.0,0.267,0.148,0.0,0.223,0.796,169.93,7M5rtXfBW7FZ9gEWkw2uDR,Yaar Haryane Te,Khasa Aala Chahar;KD DESIROCK,1_46,0.577,0.805,5.0,-0.553,1.0,0.0398,0.662,0.0,0.201,0.347,77.094,3ZBTv0pKvJ6YId7ozxW4Uv,Shiv Tandav Stotram (Har Har Shiv Shankar),Sachet Tandon;Parampara Tandon,1_47
1,hindi_chill_lyrics,0.577,0.805,5.0,-0.553,1.0,0.0398,0.662,0.0,0.201,0.347,77.094,3ZBTv0pKvJ6YId7ozxW4Uv,Shiv Tandav Stotram (Har Har Shiv Shankar),Sachet Tandon;Parampara Tandon,1_47,0.765,0.756,10.0,-7.196,1.0,0.0467,0.548,0.000112,0.158,0.437,103.014,5tEAdCdddzEVVNwrn8zNuj,Kaal Ke Hain Mahakal,Sundeep Gosswami,1_48
1,hindi_chill_lyrics,0.765,0.756,10.0,-7.196,1.0,0.0467,0.548,0.000112,0.158,0.437,103.014,5tEAdCdddzEVVNwrn8zNuj,Kaal Ke Hain Mahakal,Sundeep Gosswami,1_48,0.734,0.93,7.0,-2.926,1.0,0.27,0.0146,0.0,0.422,0.578,148.006,3jwcf3p3xtgeBAEIJccFku,Ravan Ravan Hoon Main,Rock D,1_49
1,hindi_chill_lyrics,0.734,0.93,7.0,-2.926,1.0,0.27,0.0146,0.0,0.422,0.578,148.006,3jwcf3p3xtgeBAEIJccFku,Ravan Ravan Hoon Main,Rock D,1_49,0.858,0.725,10.0,-6.935,0.0,0.155,0.143,0.0,0.147,0.323,100.011,3L3fksWjJQGs8df7Hhw6j7,Shoorveer II,Rapperiya Baalam;Jagirdar RV,1_50
1,hindi_chill_lyrics,0.858,0.725,10.0,-6.935,0.0,0.155,0.143,0.0,0.147,0.323,100.011,3L3fksWjJQGs8df7Hhw6j7,Shoorveer II,Rapperiya Baalam;Jagirdar RV,1_50,0.738,0.475,1.0,-15.315,1.0,0.058,0.139,0.0,0.0966,0.336,104.994,6IpRsKNb71BitzSfWW26Zp,The War Begins (Background Music),Tapas Relia,1_51
1,hindi_chill_lyrics,0.738,0.475,1.0,-15.315,1.0,0.058,0.139,0.0,0.0966,0.336,104.994,6IpRsKNb71BitzSfWW26Zp,The War Begins (Background Music),Tapas Relia,1_51,0.843,0.435,8.0,-9.427,0.0,0.119,0.131,0.0,0.0975,0.507,95.004,6yRqCmH8nlgNlffkVVKwSQ,Prithvi,Rapperiya Baalam;Jagirdar RV;Rajneesh Jaipuri,1_52
1,hindi_chill_lyrics,0.843,0.435,8.0,-9.427,0.0,0.119,0.131,0.0,0.0975,0.507,95.004,6yRqCmH8nlgNlffkVVKwSQ,Prithvi,Rapperiya Baalam;Jagirdar RV;Rajneesh Jaipuri,1_52,0.577,0.692,0.0,-7.839,1.0,0.335,0.0157,0.0,0.364,0.382,200.001,2ZL0rLsGPUBjM6ygXOf3TG,Baap Se,Fotty Seven;KR$NA,1_53
